p,L=5,L=15,L=25,L=35,L=45
0.02,0.001,0.0,0.0,0.0,0.0
0.04,0.008,0.0,0.0,0.0,0.0
0.06,0.0305,0.0005,0.0,0.0,0.0
0.08,0.0505,0.0025,0.0,0.0,0.0
0.1,0.09,0.0265,0.0045,0.001,0.0005
0.12000000000000001,0.15,0.083,0.0365,0.0155,0.011
0.13999999999999999,0.219,0.193,0.1575,0.115,0.0965
0.16,0.2935,0.321,0.3175,0.355,0.373
0.18,0.349,0.449,0.533,0.571,0.616
0.19999999999999998,0.411,0.544,0.663,0.679,0.751
