p,MH_rate,MWPM_rate,BP_rate
0.04,0.003,0.001,0.036
0.08,0.023,0.033,0.175
0.12,0.112,0.134,0.389
0.16,0.297,0.281,0.565
0.2,0.487,0.494,0.643
