step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,2.4423470353692043,-5.723124670791375,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0)",3,6,8,11,3.062666666666667,6.154,6.128666666666667,9.792,0.0,6.309559331172802,5.723124670791375,8.884281575859017,1,1,1,1,3,5,8,3.091333333333333,3.066,6.729333333333333,6.309559331172802,5.723124670791375,8.884281575859017,-7.860024724971327,-6.489620562313688,-5.263131451506681
0,1,0.2857142857142857,2.4423470353692043,-4.130877226866345,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0)",3,8,8,13,3.04,6.059333333333333,6.365333333333333,9.443333333333333,0.0,4.130877226866345,6.857296359638271,9.854978836471865,1,1,1,1,5,5,10,3.019333333333333,3.325333333333333,6.403333333333333,4.130877226866345,6.857296359638271,9.854978836471865,-2.7147759330530947,-8.626279426329509,-8.430116161735839
0,2,0.5714285714285714,2.4423470353692043,-3.530114130544085,"(0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0)",4,9,7,12,4.010666666666666,7.058666666666666,7.1,8.006,0.0,6.102719674466313,3.530114130544085,7.250080037304202,1,1,1,1,5,3,8,3.048,3.0893333333333333,3.995333333333334,6.102719674466313,3.530114130544085,7.250080037304202,-7.46068554081678,-1.076539673315354,-7.949220963320939
0,3,0.8571428571428571,2.4423470353692043,-2.0476094800749767,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4,9,7,12,4.068666666666667,7.141333333333334,5.200666666666667,8.284,0.0,6.159382125686877,2.0476094800749767,8.686505740372676,1,1,1,1,5,3,8,3.0726666666666667,1.1319999999999997,4.215333333333334,6.159382125686877,2.0476094800749767,8.686505740372676,-7.538830350366303,-2.2362360992170585,-10.920154672957127
0,4,1.1428571428571428,2.4423470353692043,-2.4796878078210693,"(1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",5,8,8,11,5.102,6.222666666666667,6.052666666666667,7.524666666666667,0.0,2.4796878078210693,3.6498434096557393,4.216142275590012,1,1,1,1,3,3,6,1.1206666666666667,0.9506666666666668,2.4226666666666663,2.4796878078210693,3.6498434096557393,4.216142275590012,-3.319201255102528,-6.592326316176866,-4.3802898364609115
0,5,1.4285714285714284,2.4423470353692043,-2.6784948565001234,"(1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0)",5,10,6,11,5.076,8.548666666666668,6.262,9.058666666666667,0.0,5.821904039777418,2.6784948565001234,5.66488826259246,1,1,1,1,5,1,6,3.472666666666668,1.186,3.9826666666666677,5.821904039777418,2.6784948565001234,5.66488826259246,-5.7376529335955775,-3.6451903880768626,-4.108568927643411
0,6,1.7142857142857142,2.4423470353692043,-4.734082670223976,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",3,8,6,11,3.0773333333333333,6.474,6.161333333333333,9.221333333333334,0.0,6.431188213534188,4.734082670223976,11.68022618757112,1,1,1,1,5,3,8,3.396666666666667,3.084,6.144,6.431188213534188,4.734082670223976,11.68022618757112,-7.411354703755863,-4.030074517735628,-13.521385616347679
0,7,2.0,2.4423470353692043,1.0106666666666673,"(1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0)",5,10,10,15,5.2,8.08,4.189333333333333,7.1466666666666665,0.0,3.8598852546974904,-2.201911538331747,3.5548089727905943,1,1,1,1,5,5,10,2.88,-1.0106666666666673,1.9466666666666663,3.8598852546974904,-2.201911538331747,3.5548089727905943,-2.3932198468124137,2.909433380709976,-3.9276415938135707
10,0,0.0,2.4423470353692043,-1.48440425371884,"(0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0)",4,9,5,10,4.034666666666666,7.172,5.1273333333333335,7.363333333333333,0.0,4.244310678064603,1.48440425371884,3.1419437750560726,1,1,1,1,5,1,6,3.1373333333333333,1.0926666666666671,3.328666666666667,4.244310678064603,1.48440425371884,3.1419437750560726,-2.7036228361252905,-0.95675913437956,0.45604210076070023
10,1,0.2857142857142857,2.4423470353692043,-2.458249428288385,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0)",3,8,8,13,3.1006666666666667,6.485333333333333,4.164666666666666,7.152666666666667,0.0,5.763396259685685,2.458249428288385,6.65089089796029,1,1,1,1,5,5,10,3.3846666666666665,1.0639999999999996,4.052,5.763396259685685,2.458249428288385,6.65089089796029,-5.809683169454993,-3.405240957745346,-6.347393479881323
