step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.3862943611198906,1.307891713363221,"(1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",6,11,5,10,9.868,10.502666666666666,6.756,8.760666666666667,0.0,1.2431055568868845,-1.307891713363221,-0.0927276894882417,1,1,1,1,5,-1,4,0.634666666666666,-3.112,-1.107333333333333,1.2431055568868845,-1.307891713363221,-0.0927276894882417,-0.843475402598333,-2.501025144614234,-1.4065420828228663
0,1,0.2857142857142857,1.3862943611198906,-0.9099999999999993,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1)",5,8,10,13,7.37,11.035333333333334,8.28,10.701333333333332,0.0,1.3920243778125194,0.12322616543287954,1.6549582083049252,1,1,1,1,3,5,8,3.6653333333333338,0.9099999999999993,3.3313333333333324,1.3920243778125194,0.12322616543287954,1.6549582083049252,3.151475386121853,1.0907001303370716,2.3239493829485323
0,2,0.5714285714285714,1.3862943611198906,-0.1806666666666672,"(0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0)",7,10,12,15,11.25,11.430666666666667,12.152,12.010666666666667,0.0,0.006376954061151492,0.7516488025992045,0.3574482993794247,1,1,1,1,3,5,8,0.1806666666666672,0.9019999999999992,0.7606666666666673,0.006376954061151492,0.7516488025992045,0.3574482993794247,0.24161684578623274,0.20843101714434528,0.5589793488702733
0,3,0.8571428571428571,1.3862943611198906,-0.12199999999999989,"(1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0)",6,11,9,14,9.942,11.518666666666666,10.064,11.057333333333334,0.0,1.1292137734855463,-0.42352833059280554,0.4797810751129141,1,1,1,1,5,3,8,1.5766666666666662,0.12199999999999989,1.115333333333334,1.1292137734855463,-0.42352833059280554,0.4797810751129141,0.6203014226837673,0.7562628485319536,0.8810625117679807
0,4,1.1428571428571428,1.3862943611198906,-1.541333333333334,"(1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0)",6,11,11,16,9.044666666666666,10.865333333333334,10.586,12.064666666666668,0.0,0.27390095921593205,0.537266081287353,0.19454330867715816,1,1,1,1,5,5,10,1.8206666666666678,1.541333333333334,3.0200000000000014,0.27390095921593205,0.537266081287353,0.19454330867715816,2.1442725782125733,1.3919327696964874,3.916914678769321
0,5,1.4285714285714284,1.3862943611198906,0.2293238938705893,"(0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1)",6,11,11,16,10.608666666666666,9.78,9.199333333333334,7.808666666666666,0.0,0.44170418999415473,-0.18678006025488714,-0.2293238938705893,1,1,1,1,5,5,10,-0.8286666666666669,-1.4093333333333327,-2.8,0.44170418999415473,-0.18678006025488714,-0.2293238938705893,-1.7611079551199418,-1.694818708637315,-3.563713790192839
0,6,1.7142857142857142,1.3862943611198906,0.9339003012744328,"(1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0)",7,12,12,17,9.916666666666666,11.275333333333334,7.9366666666666665,9.202666666666667,0.0,0.9059895748038856,-0.9339003012744328,0.0749215085831909,1,1,1,1,5,5,10,1.358666666666668,-1.9799999999999995,-0.7139999999999986,0.9059895748038856,-0.9339003012744328,0.0749215085831909,0.6275436998575259,-1.4502021135124694,-1.093677438715073
0,7,2.0,1.3862943611198906,0.3667826814109657,"(0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",6,11,9,14,8.158666666666667,9.862,6.996,10.346,0.0,1.568977151374134,-0.3667826814109657,1.2069386773323354,1,1,1,1,5,3,8,1.7033333333333331,-1.1626666666666665,2.187333333333333,1.568977151374134,-0.3667826814109657,1.2069386773323354,0.1862572174316358,-1.1033294808656042,1.359115583286258
10,0,0.0,1.3862943611198906,-0.614035982352037,"(0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1)",6,11,9,14,9.191333333333333,9.344,10.407333333333334,11.09,0.0,0.614035982352037,0.6140975954347535,1.1607288652950043,1,1,1,1,5,3,8,0.15266666666666673,1.216000000000001,1.8986666666666672,0.614035982352037,0.6140975954347535,1.1607288652950043,-0.6395936807283715,0.8344139093933058,1.022999012898746
10,1,0.2857142857142857,1.3862943611198906,-0.20708157100995328,"(0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1)",6,9,11,14,9.064666666666668,9.216,10.354666666666667,9.510666666666667,0.0,0.20708157100995328,0.22636646590019888,-0.13524071656258452,1,1,1,1,3,5,8,0.15133333333333177,1.2899999999999991,0.44599999999999973,0.20708157100995328,0.22636646590019888,-0.13524071656258452,-0.07728346753347183,1.474509170620574,0.8057707278239952
