step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.9924301646902063,1.2019999999999995,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",4,9,9,14,4.341333333333333,7.320666666666667,3.1393333333333335,6.510666666666666,0.0,4.637403346429396,-2.3682024937507777,3.1527772163798993,1,1,1,1,5,5,10,2.979333333333334,-1.2019999999999995,2.1693333333333333,4.637403346429396,-2.3682024937507777,3.1527772163798993,-3.30358870926088,2.3235770266859923,-1.9594432578620453
0,1,0.2857142857142857,1.9924301646902063,-1.8413154057549244,"(0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0)",5,8,6,9,6.922,6.918,8.411333333333333,10.028666666666666,0.0,2.35518528334147,1.8413154057549244,3.4193643724154503,1,1,1,1,3,1,4,-0.0039999999999995595,1.4893333333333336,3.1066666666666665,2.35518528334147,1.8413154057549244,3.4193643724154503,-4.700511922622755,-0.7012996985229502,-0.6230283413632991
0,2,0.5714285714285714,1.9924301646902063,-4.700364139633608,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",1,6,6,11,1.062,6.283333333333333,4.82,9.531333333333333,0.0,7.055815080330368,4.700364139633608,10.245164459288805,1,1,1,1,5,5,10,5.221333333333333,3.758,8.469333333333333,7.055815080330368,4.700364139633608,10.245164459288805,-3.65507676929048,-1.8775947379283346,-3.5382195027494556
0,3,0.8571428571428571,1.9924301646902063,-1.8780000000000001,"(1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",5,10,10,15,5.342,7.22,8.666666666666666,9.670666666666667,0.0,1.5377576011079015,4.016207897304871,4.734589662240396,1,1,1,1,5,5,10,1.8780000000000001,3.3246666666666664,4.328666666666668,1.5377576011079015,4.016207897304871,4.734589662240396,0.6779092188591749,-1.3778476080505457,-0.8087732209225044
0,4,1.1428571428571428,1.9924301646902063,0.0039999999999995595,"(0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1)",8,13,13,18,9.5,9.496,10.322666666666667,8.768666666666666,0.0,-0.0248389627198039,0.8172063011041587,0.39304005715455476,1,1,1,1,5,5,10,-0.0039999999999995595,0.8226666666666667,-0.7313333333333336,-0.0248389627198039,0.8172063011041587,0.39304005715455476,0.04152017792379283,0.010879397056976449,-2.240235459583069
0,5,1.4285714285714284,1.9924301646902063,-1.2479999999999993,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0)",6,11,9,14,6.9013333333333335,9.366666666666667,8.149333333333333,9.399333333333333,0.0,1.8843076210863496,-0.3892765779545847,2.60499174976774,1,1,1,1,5,3,8,2.4653333333333336,1.2479999999999993,2.4979999999999993,1.8843076210863496,-0.3892765779545847,2.60499174976774,1.1576531555415026,3.2621592418574696,-0.21317358961023278
0,6,1.7142857142857142,1.9924301646902063,-0.26756123300495394,"(1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0)",6,11,11,16,6.481333333333334,8.334,5.908,9.320666666666666,0.0,3.098450287222681,0.26756123300495394,3.4332228311165185,1,1,1,1,5,5,10,1.852666666666666,-0.5733333333333333,2.8393333333333324,3.098450287222681,0.26756123300495394,3.4332228311165185,-2.4821368642727824,-1.675423699296493,-1.1832833498759374
0,7,2.0,1.9924301646902063,1.097386258485485,"(0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1)",6,11,11,16,6.494666666666666,8.722666666666667,5.290666666666667,8.826,0.0,1.0167149749284712,-1.097386258485485,1.6040391112532626,1,1,1,1,5,5,10,2.2280000000000006,-1.2039999999999997,2.331333333333334,1.0167149749284712,-1.097386258485485,1.6040391112532626,2.4134008219900482,-0.2124204345640037,1.4490829466772324
10,0,0.0,1.9924301646902063,-3.9294707708020247,"(0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",3,6,6,9,3.36,6.886666666666667,6.668666666666667,7.686,0.0,4.393839827852488,3.9294707708020247,4.582855036142767,1,1,1,1,3,3,6,3.526666666666667,3.308666666666667,4.3260000000000005,4.393839827852488,3.9294707708020247,4.582855036142767,-1.7277819643563919,-1.236908823442767,-0.5117657219634418
10,1,0.2857142857142857,1.9924301646902063,1.2180000000000004,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",4,9,9,14,4.618666666666667,9.524666666666667,3.4006666666666665,6.536666666666667,0.0,4.698991576631265,-1.929602200163642,3.8405198330050787,1,1,1,1,5,5,10,4.906,-1.2180000000000004,1.9180000000000001,4.698991576631265,-1.929602200163642,3.8405198330050787,0.41244982706482824,1.4178176888659575,-3.8304865074944967
10,2,0.5714285714285714,1.9924301646902063,-1.4256059209487835,"(1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",5,8,6,9,5.286666666666667,8.648666666666667,6.265333333333333,8.204666666666666,0.0,4.473049995955395,1.4256059209487835,4.056632091535142,1,1,1,1,3,1,4,3.362,0.9786666666666664,2.9179999999999993,4.473049995955395,1.4256059209487835,4.056632091535142,-2.2136895264204606,-0.8904952520158366,-2.268644925658918
10,3,0.8571428571428571,1.9924301646902063,0.33835891819027997,"(0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1)",8,11,13,16,8.980666666666666,8.324,8.968666666666667,8.977333333333334,0.0,-0.33835891819027997,0.16351210218224302,-0.8035692235325008,1,1,1,1,3,5,8,-0.6566666666666663,-0.011999999999998678,-0.003333333333332078,-0.33835891819027997,0.16351210218224302,-0.8035692235325008,-0.6342059597189752,-0.3496956066560881,1.5944141265005436
10,4,1.1428571428571428,1.9924301646902063,1.2019999999999995,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",4,9,9,14,4.341333333333333,7.320666666666667,3.1393333333333335,6.510666666666666,0.0,4.637403346429396,-2.3682024937507777,3.1527772163798993,1,1,1,1,5,5,10,2.979333333333334,-1.2019999999999995,2.1693333333333333,4.637403346429396,-2.3682024937507777,3.1527772163798993,-3.30358870926088,2.3235770266859923,-1.9594432578620453
