step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,Z_II,Z_IX,Z_XI,Z_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.6582280766035322,2.6270000000000007,"(0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0)",8.0,12.0,9.0,14.0,11.981,17.464666666666666,14.608,19.094,0.0,3.0832263742327775,2.720120487347621,3.7068583167087565,11.0,1.0,1.0,10.0,0.15611229323017015,0.02312066894738832,0.08129172508140836,0.057259796788978114,4.0,1.0,6.0,5.483666666666666,2.6270000000000007,7.113000000000001,3.0832263742327775,2.720120487347621,3.7068583167087565,3.980477489124268,-0.15441500662682806,5.648159772123158
0,1,0.2857142857142857,1.6582280766035322,4.309999999999999,"(1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",8.0,11.0,9.0,12.0,10.564666666666668,15.505666666666666,14.874666666666666,17.707666666666668,0.0,2.237115498145825,2.1567190735651645,3.813353408739517,17.0,2.0,1.0,1.0,0.17601120378802287,0.05647334531079601,0.029016468898193815,0.020618733757771058,3.0,1.0,4.0,4.940999999999999,4.309999999999999,7.143000000000001,2.237115498145825,2.1567190735651645,3.813353408739517,4.483657196867746,3.570630889029107,5.521313462795379
0,2,0.5714285714285714,1.6582280766035322,3.1910000000000007,"(0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1)",8.0,9.0,11.0,14.0,11.0,14.191,16.029666666666667,18.725,0.0,1.1548268820595144,2.1692386955435206,2.5339106867232477,16.0,1.0,4.0,8.0,0.12076005193924348,0.11255384398303239,0.015320885861906193,0.0251833831755413,1.0,3.0,6.0,3.1910000000000007,5.029666666666667,7.725000000000001,1.1548268820595144,2.1692386955435206,2.5339106867232477,3.37643943299427,4.743241972818479,8.608010047432062
0,3,0.8571428571428571,1.6582280766035322,4.371,"(1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0)",7.0,10.0,10.0,13.0,10.045333333333334,14.416333333333334,16.091,17.8,0.0,2.276065433189602,2.5783696239326295,3.358879154833505,2.0,3.0,4.0,3.0,0.21608424586374822,0.025283192605518676,0.03690802686224872,0.03823896522474137,3.0,3.0,6.0,4.371,6.045666666666667,7.754666666666667,2.276065433189602,2.5783696239326295,3.358879154833505,3.473879317332261,5.749569306185979,7.2892182709049305
0,4,1.1428571428571428,1.6582280766035322,4.4576666666666656,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",6.0,10.0,10.0,12.0,7.267,14.729,11.724666666666666,16.13,0.0,3.3457423035155234,3.275239973125263,4.7525645789495545,5.0,2.0,25.0,8.0,0.12242206911268261,0.028305479344946607,0.12622791751096823,0.04206007984009599,4.0,4.0,6.0,7.461999999999999,4.4576666666666656,8.863,3.3457423035155234,3.275239973125263,4.7525645789495545,6.825694082845938,1.960733141755834,6.816039422251509
0,5,1.4285714285714284,1.6582280766035322,6.991333333333333,"(1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0)",6.0,12.0,10.0,13.0,7.884,15.850666666666667,14.875333333333334,17.602,0.0,3.082719693431592,3.1022683599791074,4.575696129823379,1.0,2.0,3.0,6.0,0.14220182388538075,0.047541187509104264,0.052967591170957576,0.007028346179721687,6.0,4.0,7.0,7.966666666666667,6.991333333333333,9.718,3.082719693431592,3.1022683599791074,4.575696129823379,8.09869799566124,6.4489567305513456,8.527112655953877
0,6,1.7142857142857142,1.6582280766035322,6.001,"(1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1)",6.0,10.0,11.0,12.0,7.589333333333333,13.590333333333334,14.662333333333333,18.1,0.0,2.985031634963239,3.066404571633455,4.099876795620201,2.0,10.0,8.0,1.0,0.30642770776044687,0.029917537541461602,0.07521165032342535,0.014976392418521257,4.0,5.0,6.0,6.001,7.0729999999999995,10.510666666666669,2.985031634963239,3.066404571633455,4.099876795620201,5.001163421052008,6.643849030908761,10.630551757374791
0,7,2.0,1.6582280766035322,6.088666666666667,"(1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0)",5.0,9.0,9.0,11.0,6.433,12.978666666666667,12.521666666666667,15.404333333333334,0.0,2.9136725534000685,2.932207858345213,5.007047314438977,2.0,2.0,5.0,2.0,0.1266590186201554,0.044345719361412086,0.12676464213270805,0.025789270436792668,4.0,4.0,6.0,6.545666666666667,6.088666666666667,8.971333333333334,2.9136725534000685,2.932207858345213,5.007047314438977,6.022674612677424,5.2341286186011615,6.573690380217463
1,0,0.0,1.6582280766035322,3.7010000000000005,"(0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0)",10.0,11.0,13.0,13.0,12.636,16.337,17.961666666666666,18.503333333333334,0.0,2.082845012752477,1.5640315094742487,2.7136533978488675,44.0,3.0,11.0,1.0,0.13513841456029727,0.07068015610979597,0.07866874478030837,0.009476530815539213,1.0,3.0,3.0,3.7010000000000005,5.325666666666667,5.867333333333335,2.082845012752477,1.5640315094742487,2.7136533978488675,2.6832700321498737,6.237649031595409,5.22952061364156
1,1,0.2857142857142857,1.6582280766035322,4.289666666666667,"(1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",7.0,10.0,10.0,11.0,9.304,16.567,13.593666666666667,18.777,0.0,2.945796116195159,2.7980940564608012,4.11704866859125,4.0,3.0,5.0,2.0,0.22121496708286878,0.028227739440259258,0.06089171587711947,0.027307979965310737,3.0,3.0,4.0,7.263,4.289666666666667,9.473,2.945796116195159,2.7980940564608012,4.11704866859125,7.1589086925470005,2.473367580536183,8.88138887466406
1,2,0.5714285714285714,1.6582280766035322,3.1910000000000007,"(0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1)",8.0,9.0,11.0,14.0,11.0,14.191,16.029666666666667,18.725,0.0,1.1548268820595144,2.1692386955435206,2.5339106867232477,16.0,1.0,4.0,8.0,0.12076005193924348,0.11255384398303239,0.015320885861906193,0.0251833831755413,1.0,3.0,6.0,3.1910000000000007,5.029666666666667,7.725000000000001,1.1548268820595144,2.1692386955435206,2.5339106867232477,3.37643943299427,4.743241972818479,8.608010047432062
1,3,0.8571428571428571,1.6582280766035322,4.371,"(1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0)",7.0,10.0,10.0,13.0,10.045333333333334,14.416333333333334,16.091,17.8,0.0,2.276065433189602,2.5783696239326295,3.358879154833505,2.0,3.0,4.0,3.0,0.21608424586374822,0.025283192605518676,0.03690802686224872,0.03823896522474137,3.0,3.0,6.0,4.371,6.045666666666667,7.754666666666667,2.276065433189602,2.5783696239326295,3.358879154833505,3.473879317332261,5.749569306185979,7.2892182709049305
1,4,1.1428571428571428,1.6582280766035322,5.688333333333333,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1)",6.0,10.0,10.0,13.0,8.157,13.869666666666667,13.845333333333333,17.145,0.0,3.677139184624739,2.8431517982533987,4.173787705945701,2.0,8.0,8.0,1.0,0.1576924328728268,0.01637365051981133,0.05538344970494839,0.016068219048369952,4.0,4.0,7.0,5.712666666666667,5.688333333333333,8.988,3.677139184624739,2.8431517982533987,4.173787705945701,3.3753688214200177,4.717959904503484,7.983061992730738
1,5,1.4285714285714284,1.6582280766035322,6.991333333333333,"(1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0)",6.0,12.0,10.0,13.0,7.884,15.850666666666667,14.875333333333334,17.602,0.0,3.082719693431592,3.1022683599791074,4.575696129823379,1.0,2.0,3.0,6.0,0.14220182388538075,0.047541187509104264,0.052967591170957576,0.007028346179721687,6.0,4.0,7.0,7.966666666666667,6.991333333333333,9.718,3.082719693431592,3.1022683599791074,4.575696129823379,8.09869799566124,6.4489567305513456,8.527112655953877
1,6,1.7142857142857142,1.6582280766035322,6.001,"(1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1)",6.0,10.0,11.0,12.0,7.589333333333333,13.590333333333334,14.662333333333333,18.1,0.0,2.985031634963239,3.066404571633455,4.099876795620201,2.0,10.0,8.0,1.0,0.30642770776044687,0.029917537541461602,0.07521165032342535,0.014976392418521257,4.0,5.0,6.0,6.001,7.0729999999999995,10.510666666666669,2.985031634963239,3.066404571633455,4.099876795620201,5.001163421052008,6.643849030908761,10.630551757374791
1,7,2.0,1.6582280766035322,6.088666666666667,"(1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0)",5.0,9.0,9.0,11.0,6.433,12.978666666666667,12.521666666666667,15.404333333333334,0.0,2.9136725534000685,2.932207858345213,5.007047314438977,2.0,2.0,5.0,2.0,0.1266590186201554,0.044345719361412086,0.12676464213270805,0.025789270436792668,4.0,4.0,6.0,6.545666666666667,6.088666666666667,8.971333333333334,2.9136725534000685,2.932207858345213,5.007047314438977,6.022674612677424,5.2341286186011615,6.573690380217463
2,0,0.0,1.6582280766035322,3.7010000000000005,"(0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0)",10.0,11.0,13.0,13.0,12.636,16.337,17.961666666666666,18.503333333333334,0.0,2.082845012752477,1.5640315094742487,2.7136533978488675,44.0,3.0,11.0,1.0,0.13513841456029727,0.07068015610979597,0.07866874478030837,0.009476530815539213,1.0,3.0,3.0,3.7010000000000005,5.325666666666667,5.867333333333335,2.082845012752477,1.5640315094742487,2.7136533978488675,2.6832700321498737,6.237649031595409,5.22952061364156
2,1,0.2857142857142857,1.6582280766035322,1.971,"(1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",8.0,9.0,10.0,12.0,10.594,14.670666666666667,12.565,18.006333333333334,0.0,2.1871383463926355,2.3634724775830156,3.2779484123170497,30.0,1.0,10.0,1.0,0.23609676667416746,0.012371530157740377,0.024694083776746298,0.021370000505908305,1.0,2.0,4.0,4.076666666666668,1.971,7.4123333333333346,2.1871383463926355,2.3634724775830156,3.2779484123170497,3.133268912215912,-0.6508088816223068,6.85575315551548
2,2,0.5714285714285714,1.6582280766035322,4.637666666666668,"(0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1)",8.0,12.0,12.0,14.0,11.57,16.207666666666668,17.386,18.849,0.0,1.8420058093822207,2.2566365275587295,3.3514908275144157,1.0,12.0,8.0,7.0,0.08544639975813575,0.04524753521775952,0.08264004052694619,0.03348029863336841,4.0,4.0,6.0,4.637666666666668,5.815999999999999,7.279,1.8420058093822207,2.2566365275587295,3.3514908275144157,4.635843326210571,5.902236444839156,6.512705980933501
2,3,0.8571428571428571,1.6582280766035322,6.4733333333333345,"(1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0)",7.0,12.0,10.0,14.0,9.111333333333333,15.622,15.584666666666667,18.174333333333333,0.0,2.123471600629263,2.1593446013531175,3.1736919281897036,1.0,14.0,1.0,9.0,0.13041804451843397,0.04892296324872408,0.07025524326973771,0.010318117509712007,5.0,3.0,7.0,6.510666666666667,6.4733333333333345,9.063,2.123471600629263,2.1593446013531175,3.1736919281897036,7.274970036039711,7.153577237520866,9.765815996443646
2,4,1.1428571428571428,1.6582280766035322,4.2716666666666665,"(0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",6.0,9.0,9.0,13.0,8.622,12.893666666666666,13.453,17.496666666666666,0.0,3.8680749352674333,3.3493443433930343,5.013578890585153,1.0,1.0,1.0,16.0,0.18779826492303003,0.07466684186506405,0.08843618516082521,0.007957294015061473,3.0,3.0,7.0,4.2716666666666665,4.8309999999999995,8.874666666666666,3.8680749352674333,3.3493443433930343,5.013578890585153,0.6692471404912399,2.4569230096441115,6.402564156529057
2,5,1.4285714285714284,1.6582280766035322,6.991333333333333,"(1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0)",6.0,12.0,10.0,13.0,7.884,15.850666666666667,14.875333333333334,17.602,0.0,3.082719693431592,3.1022683599791074,4.575696129823379,1.0,2.0,3.0,6.0,0.14220182388538075,0.047541187509104264,0.052967591170957576,0.007028346179721687,6.0,4.0,7.0,7.966666666666667,6.991333333333333,9.718,3.082719693431592,3.1022683599791074,4.575696129823379,8.09869799566124,6.4489567305513456,8.527112655953877
2,6,1.7142857142857142,1.6582280766035322,6.001,"(1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1)",6.0,10.0,11.0,12.0,7.589333333333333,13.590333333333334,14.662333333333333,18.1,0.0,2.985031634963239,3.066404571633455,4.099876795620201,2.0,10.0,8.0,1.0,0.30642770776044687,0.029917537541461602,0.07521165032342535,0.014976392418521257,4.0,5.0,6.0,6.001,7.0729999999999995,10.510666666666669,2.985031634963239,3.066404571633455,4.099876795620201,5.001163421052008,6.643849030908761,10.630551757374791
2,7,2.0,1.6582280766035322,6.088666666666667,"(1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0)",5.0,9.0,9.0,11.0,6.433,12.978666666666667,12.521666666666667,15.404333333333334,0.0,2.9136725534000685,2.932207858345213,5.007047314438977,2.0,2.0,5.0,2.0,0.1266590186201554,0.044345719361412086,0.12676464213270805,0.025789270436792668,4.0,4.0,6.0,6.545666666666667,6.088666666666667,8.971333333333334,2.9136725534000685,2.932207858345213,5.007047314438977,6.022674612677424,5.2341286186011615,6.573690380217463
3,0,0.0,1.6582280766035322,3.7010000000000005,"(0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0)",10.0,11.0,13.0,13.0,12.636,16.337,17.961666666666666,18.503333333333334,0.0,2.082845012752477,1.5640315094742487,2.7136533978488675,44.0,3.0,11.0,1.0,0.13513841456029727,0.07068015610979597,0.07866874478030837,0.009476530815539213,1.0,3.0,3.0,3.7010000000000005,5.325666666666667,5.867333333333335,2.082845012752477,1.5640315094742487,2.7136533978488675,2.6832700321498737,6.237649031595409,5.22952061364156
3,1,0.2857142857142857,1.6582280766035322,1.971,"(1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",8.0,9.0,10.0,12.0,10.594,14.670666666666667,12.565,18.006333333333334,0.0,2.1871383463926355,2.3634724775830156,3.2779484123170497,30.0,1.0,10.0,1.0,0.23609676667416746,0.012371530157740377,0.024694083776746298,0.021370000505908305,1.0,2.0,4.0,4.076666666666668,1.971,7.4123333333333346,2.1871383463926355,2.3634724775830156,3.2779484123170497,3.133268912215912,-0.6508088816223068,6.85575315551548
3,2,0.5714285714285714,1.6582280766035322,6.512333333333332,"(1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1)",9.0,13.0,12.0,14.0,11.576333333333332,18.088666666666665,18.422,19.023,0.0,1.5923411476931528,2.10530479081225,2.631165763416044,7.0,7.0,1.0,4.0,0.24777106032237928,0.04950797850996981,0.02991461044512395,0.029500059150761183,4.0,3.0,5.0,6.512333333333332,6.845666666666668,7.446666666666667,1.5923411476931528,2.10530479081225,2.631165763416044,8.158469178898523,7.860601155802784,7.985198800679853
