step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.6582280766035322,-2.8163333333333345,"(1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",5.0,9.0,8.0,11.0,7.504,13.040333333333333,10.320333333333334,15.189333333333334,0.0,4.251881035975525,3.8908110846733086,5.4038520807919985,5.0,4.0,9.0,6.0,4.0,3.0,6.0,5.536333333333333,2.8163333333333345,7.685333333333334,4.251881035975525,3.8908110846733086,5.4038520807919985,2.129914862536627,-1.7817291749577737,3.7832162692086366
0,1,0.2857142857142857,1.6582280766035322,-1.8248155116547642,"(1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0)",7.0,12.0,10.0,15.0,12.642666666666667,16.44333333333333,14.756666666666666,18.485333333333333,0.0,2.1542317314502593,1.8248155116547642,3.468902587716149,1.0,15.0,3.0,8.0,5.0,3.0,8.0,3.8006666666666646,2.113999999999999,5.842666666666666,2.1542317314502593,1.8248155116547642,3.468902587716149,2.7301646358767613,0.4795338378922953,3.9362422429486714
0,2,0.5714285714285714,1.6582280766035322,-3.7408888417919415,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",3.0,6.0,6.0,10.0,4.006,9.665333333333333,9.731666666666667,13.482666666666667,0.0,3.7408888417919415,5.105509212676412,7.151891632500018,2.0,2.0,1.0,6.0,3.0,3.0,7.0,5.659333333333333,5.725666666666667,9.476666666666667,3.7408888417919415,5.105509212676412,7.151891632500018,3.1812185192793225,1.028362502121604,3.855007233442073
0,3,0.8571428571428571,1.6582280766035322,-2.421123540379598,"(0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",6.0,10.0,10.0,12.0,7.137333333333333,13.743666666666666,14.521,16.907666666666668,0.0,2.454168340995024,2.421123540379598,3.3637617152812824,1.0,5.0,4.0,5.0,4.0,4.0,6.0,6.606333333333333,7.3836666666666675,9.770333333333333,2.454168340995024,2.421123540379598,3.3637617152812824,6.885236568985674,8.229028343365087,10.623556931825231
0,4,1.1428571428571428,1.6582280766035322,-0.02833333333333421,"(0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0)",7.0,9.0,8.0,12.0,12.550333333333333,13.672333333333333,12.578666666666667,16.402666666666665,0.0,2.3382029241712177,2.2216755522770057,4.176818578374604,10.0,4.0,2.0,13.0,2.0,1.0,5.0,1.1219999999999999,0.02833333333333421,3.8523333333333323,2.3382029241712177,2.2216755522770057,4.176818578374604,-2.01674183570803,-3.637061649052288,-0.538070543771014
0,5,1.4285714285714284,1.6582280766035322,-2.2089999999999996,"(0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0)",5.0,8.0,7.0,11.0,8.16,10.953333333333333,10.369,16.234666666666666,0.0,3.3846922385592997,4.014339864002068,5.372972189054359,2.0,4.0,1.0,2.0,3.0,2.0,6.0,2.793333333333333,2.2089999999999996,8.074666666666666,3.3846922385592997,4.014339864002068,5.372972189054359,-0.9806079399952252,-2.993665250299832,4.48002563718144
0,6,1.7142857142857142,1.6582280766035322,-2.8941423116089586,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",6.0,10.0,9.0,10.0,7.093,14.618,12.188333333333333,14.343333333333334,0.0,3.286690959232031,2.8941423116089586,4.865397787184221,5.0,2.0,8.0,2.0,4.0,3.0,4.0,7.525,5.095333333333333,7.250333333333334,3.286690959232031,2.8941423116089586,4.865397787184221,7.028083048724032,3.6500767541909727,3.9547670835142386
0,7,2.0,1.6582280766035322,-2.5490466241113556,"(0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1)",7.0,12.0,10.0,14.0,10.345,16.512666666666668,15.618666666666666,17.274,0.0,2.5490466241113556,2.783860932136619,3.766775624543363,2.0,15.0,2.0,19.0,5.0,3.0,7.0,6.167666666666667,5.273666666666665,6.929,2.5490466241113556,2.783860932136619,3.766775624543363,6.000497353125486,4.128665774286204,5.243689243902266
10,0,0.0,1.6582280766035322,-3.3701182562415943,"(1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",4.0,8.0,8.0,12.0,5.516,11.210666666666667,12.269,16.417,0.0,3.510625448599134,3.3701182562415943,5.100221307587686,1.0,1.0,1.0,11.0,4.0,4.0,8.0,5.6946666666666665,6.753,10.901000000000002,3.510625448599134,3.3701182562415943,5.100221307587686,3.6216384682589604,5.609589487329704,9.619014093921626
10,1,0.2857142857142857,1.6582280766035322,-3.1453333333333338,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",3.0,8.0,6.0,10.0,3.908,10.515,7.053333333333334,12.625333333333334,0.0,5.084366804699717,4.729478359171951,6.526380364870556,2.0,15.0,1.0,11.0,5.0,3.0,7.0,6.607000000000001,3.1453333333333338,8.717333333333334,5.084366804699717,4.729478359171951,6.526380364870556,2.524873114815481,-2.6268737592574234,3.6330997268228327
