step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.3862943611198906,-1.7496498148047537,"(0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0)",7.0,9.0,12.0,14.0,10.477666666666666,17.620666666666665,18.582,20.607333333333333,0.0,1.771145079037451,1.7496498148047537,2.2311791611397465,16.0,4.0,5.0,13.0,2.0,5.0,7.0,7.142999999999999,8.104333333333335,10.129666666666667,1.771145079037451,1.7496498148047537,2.2311791611397465,7.4469721856845155,8.809461928437678,10.94962869028788
0,1,0.2857142857142857,1.3862943611198906,-1.683292524719148,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1)",6.0,13.0,10.0,12.0,12.356666666666667,20.846666666666668,14.923333333333334,20.177333333333333,0.0,1.9566620710966514,1.683292524719148,2.6806697044621925,2.0,4.0,11.0,2.0,7.0,4.0,6.0,8.49,2.5666666666666664,7.820666666666666,1.9566620710966514,1.683292524719148,2.6806697044621925,9.057129530129416,1.2246165917409666,7.125548804877429
0,2,0.5714285714285714,1.3862943611198906,-1.3749190457233682,"(1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0)",7.0,12.0,11.0,13.0,14.316333333333333,20.146333333333335,19.129333333333335,21.174666666666667,0.0,1.5092432676805458,1.3749190457233682,1.7661621209727598,2.0,3.0,8.0,1.0,5.0,4.0,6.0,5.830000000000002,4.813000000000002,6.858333333333334,1.5092432676805458,1.3749190457233682,1.7661621209727598,5.989840693785267,4.76619223998739,7.0592482375525005
0,3,0.8571428571428571,1.3862943611198906,-1.2067846446255441,"(1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1)",7.0,13.0,12.0,16.0,14.061,19.872666666666667,17.49266666666667,21.348,0.0,1.6917951301340164,1.2067846446255441,2.0126067502031777,2.0,8.0,3.0,3.0,6.0,5.0,9.0,5.811666666666667,3.4316666666666684,7.286999999999999,1.6917951301340164,1.2067846446255441,2.0126067502031777,5.711354679633553,3.084341401312631,7.311861620522148
0,4,1.1428571428571428,1.3862943611198906,-1.9100594756570037,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0)",6.0,10.0,11.0,12.0,10.37,16.746666666666666,17.956666666666667,18.123333333333335,0.0,1.9100594756570037,1.9639247132218505,2.4879978931725453,4.0,3.0,1.0,14.0,4.0,5.0,6.0,6.376666666666667,7.586666666666668,7.753333333333336,1.9100594756570037,1.9639247132218505,2.4879978931725453,6.19203236223425,7.7947754640927895,7.29930483009962
0,5,1.4285714285714284,1.3862943611198906,-0.8668267591022482,"(0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0)",7.0,12.0,11.0,14.0,13.32,20.071,20.53,20.036666666666665,0.0,1.7190204110593428,0.8668267591022482,2.235684617813386,9.0,7.0,4.0,2.0,5.0,4.0,7.0,6.751000000000001,7.210000000000001,6.716666666666665,1.7190204110593428,0.8668267591022482,2.235684617813386,6.97580492941882,8.793505295463136,6.211960146604755
0,6,1.7142857142857142,1.3862943611198906,1.2673333333333332,"(1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",6.0,13.0,10.0,14.0,19.598666666666666,18.331333333333333,16.95,19.635666666666665,0.0,1.4106315287928834,1.1217200823001594,1.7431034247661312,1.0,4.0,1.0,7.0,7.0,4.0,8.0,-1.2673333333333332,-2.648666666666667,0.036999999999999034,1.4106315287928834,1.1217200823001594,1.7431034247661312,-3.71244758764278,-5.226865889333868,-2.3651615572406226
0,7,2.0,1.3862943611198906,-0.35392865202924756,"(1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1)",9.0,10.0,10.0,14.0,15.124666666666666,15.717666666666666,18.036,21.137333333333334,0.0,0.4963010829162599,0.35392865202924756,1.6046126180902545,33.0,1.0,2.0,5.0,1.0,1.0,5.0,0.593,2.911333333333335,6.012666666666668,0.4963010829162599,0.35392865202924756,1.6046126180902545,0.1340531634795887,3.545315688793467,6.110860471053186
10,0,0.0,1.3862943611198906,-0.7902339956503752,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1)",6.0,10.0,12.0,12.0,12.608333333333333,18.177333333333333,17.963333333333335,19.001333333333335,0.0,0.7902339956503752,0.9309582765747229,1.3582527068485712,2.0,3.0,2.0,2.0,4.0,6.0,6.0,5.569000000000001,5.355000000000002,6.3930000000000025,0.7902339956503752,0.9309582765747229,1.3582527068485712,6.624776364941316,6.133024094543588,6.979641782159462
10,1,0.2857142857142857,1.3862943611198906,-0.8718867335203361,"(1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0)",7.0,11.0,12.0,14.0,12.329666666666666,18.666,18.039666666666665,21.766666666666666,0.0,0.8718867335203361,1.0947951651530752,1.0144825118321958,1.0,3.0,14.0,3.0,4.0,5.0,7.0,6.336333333333334,5.709999999999999,9.437,0.8718867335203361,1.0947951651530752,1.0144825118321958,7.575331507961518,6.398032437961547,11.676088500280692
10,2,0.5714285714285714,1.3862943611198906,0.018329892108140358,"(0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0)",9.0,13.0,13.0,14.0,15.796666666666667,20.470666666666666,19.962333333333333,21.298333333333332,0.0,0.45269442362370016,-0.018329892108140358,1.4415998044932339,12.0,1.0,2.0,3.0,4.0,4.0,5.0,4.6739999999999995,4.165666666666667,5.501666666666665,0.45269442362370016,-0.018329892108140358,1.4415998044932339,5.851972117094414,5.800250836374542,5.628447796800756
10,3,0.8571428571428571,1.3862943611198906,-0.384596563951356,"(1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0)",8.0,11.0,11.0,14.0,14.537,17.989333333333335,18.569,21.625333333333334,0.0,0.5069062347788279,0.384596563951356,0.8441993544746365,4.0,3.0,4.0,1.0,3.0,3.0,6.0,3.4523333333333337,4.031999999999998,7.088333333333333,0.5069062347788279,0.384596563951356,0.8441993544746365,4.083228977815832,5.0563748161235464,8.656207724968917
10,4,1.1428571428571428,1.3862943611198906,-0.5863717082123563,"(0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0)",9.0,13.0,11.0,14.0,14.955333333333334,17.878,19.111333333333334,20.083333333333332,0.0,0.5863717082123563,1.2138239393258983,1.5732823655289452,8.0,5.0,1.0,8.0,4.0,2.0,5.0,2.9226666666666663,4.156000000000001,5.127999999999998,0.5863717082123563,1.2138239393258983,1.5732823655289452,3.238792526818039,4.078722082334441,4.927885012040657
10,5,1.4285714285714284,1.3862943611198906,1.2673333333333332,"(1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",6.0,13.0,10.0,14.0,19.598666666666666,18.331333333333333,16.95,19.635666666666665,0.0,1.4106315287928834,1.1217200823001594,1.7431034247661312,1.0,4.0,1.0,7.0,7.0,4.0,8.0,-1.2673333333333332,-2.648666666666667,0.036999999999999034,1.4106315287928834,1.1217200823001594,1.7431034247661312,-3.71244758764278,-5.226865889333868,-2.3651615572406226
