step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.9924301646902063,-3.915000000000001,"(1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4.0,7.0,7.0,11.0,4.59,9.089,8.505,12.525,0.0,6.512114095555823,6.7069848347189955,9.60854981450087,6.0,1.0,1.0,39.0,3.0,3.0,7.0,4.4990000000000006,3.915000000000001,7.9350000000000005,6.512114095555823,6.7069848347189955,9.60854981450087,-4.010989248948463,-5.562834804051724,-3.3344311325232323
0,1,0.2857142857142857,1.9924301646902063,-4.595666666666666,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",5.0,8.0,8.0,11.0,5.383666666666667,10.809333333333333,9.979333333333333,14.310666666666666,0.0,5.657427969242549,5.262052341172717,8.442446853446517,3.0,2.0,2.0,1.0,3.0,3.0,6.0,5.425666666666666,4.595666666666666,8.927,5.657427969242549,5.262052341172717,8.442446853446517,-0.46176821026008175,-1.3277269192032854,0.9654383055887124
0,2,0.5714285714285714,1.9924301646902063,-2.3276676089558044,"(0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0)",7.0,12.0,10.0,13.0,7.848333333333334,14.666333333333334,13.131,16.623333333333335,0.0,2.3276676089558044,4.9630660568480085,5.616594219922868,5.0,23.0,1.0,8.0,5.0,3.0,6.0,6.8180000000000005,5.282666666666667,8.775000000000002,2.3276676089558044,4.9630660568480085,5.616594219922868,8.946673705401956,0.6367818956560793,6.292902948557584
0,3,0.8571428571428571,1.9924301646902063,-3.272333333333332,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1)",7.0,9.0,10.0,13.0,8.941,12.597,12.213333333333333,15.861333333333333,0.0,4.718893740165226,4.899463258368511,7.577577195180379,3.0,2.0,6.0,9.0,2.0,3.0,6.0,3.655999999999999,3.272333333333332,6.920333333333332,4.718893740165226,4.899463258368511,7.577577195180379,-2.1177415497655923,-3.241942744510205,-1.3095124959015396
0,4,1.1428571428571428,1.9924301646902063,-4.496,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",3.0,7.0,7.0,11.0,3.5766666666666667,8.072666666666667,9.121333333333334,12.983,0.0,6.865327687529513,6.33052622415725,9.451269591111519,1.0,4.0,1.0,14.0,4.0,4.0,8.0,4.496,5.544666666666668,9.406333333333334,6.865327687529513,6.33052622415725,9.451269591111519,-4.720719954669493,-1.565770287554333,-0.0895323554855496
0,5,1.4285714285714284,1.9924301646902063,-4.713666666666666,"(1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",5.0,9.0,9.0,13.0,6.383333333333334,12.371333333333334,11.097,15.104666666666667,0.0,6.093371689276765,5.608768396998225,8.493917966034351,1.0,1.0,6.0,23.0,4.0,4.0,8.0,5.988,4.713666666666666,8.721333333333334,6.093371689276765,5.608768396998225,8.493917966034351,-0.209945732219389,-1.783427687978997,0.4531092377205963
0,6,1.7142857142857142,1.9924301646902063,-3.0216666666666665,"(1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",5.0,10.0,8.0,12.0,5.8966666666666665,11.486,8.918333333333333,15.614,0.0,5.442444754472474,6.496373897254771,9.294531751489227,1.0,6.0,1.0,1.0,5.0,3.0,7.0,5.589333333333334,3.0216666666666665,9.717333333333334,5.442444754472474,6.496373897254771,9.294531751489227,0.29266523537085415,-6.923111499690908,0.8424026253449336
0,7,2.0,1.9924301646902063,-3.6516666666666664,"(1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",7.0,10.0,10.0,11.0,7.821666666666666,12.463666666666667,11.473333333333333,14.312666666666667,0.0,4.841472471519555,3.980742640373386,7.10419792616293,12.0,9.0,17.0,5.0,3.0,3.0,4.0,4.642,3.6516666666666664,6.4910000000000005,4.841472471519555,3.980742640373386,7.10419792616293,-0.3974349692808696,-0.6556608964880696,-1.2217540450124993
10,0,0.0,1.9924301646902063,-3.767552612751533,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1)",5.0,9.0,9.0,11.0,5.914666666666666,10.172,11.071,13.894,0.0,4.788307793291738,3.767552612751533,6.534462520569764,1.0,7.0,2.0,3.0,4.0,4.0,6.0,4.257333333333334,5.156333333333333,7.979333333333334,4.788307793291738,3.767552612751533,6.534462520569764,-1.057929530701215,2.76704859982738,2.878804191430592
10,1,0.2857142857142857,1.9924301646902063,-5.099,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0)",4.0,8.0,7.0,11.0,4.434333333333333,9.642666666666667,9.533333333333333,12.545666666666667,0.0,6.15028877764808,5.454034056597088,8.965083423757697,2.0,4.0,2.0,41.0,4.0,3.0,7.0,5.208333333333334,5.099,8.111333333333334,6.15028877764808,5.454034056597088,8.965083423757697,-1.8767804410468658,-0.7073805638563676,-1.7010374332684919
10,2,0.5714285714285714,1.9924301646902063,-3.7887055796666638,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0)",7.0,11.0,11.0,13.0,7.789,12.961333333333334,12.909,13.998,0.0,3.7887055796666638,4.173587742202458,5.536830598996438,6.0,32.0,19.0,45.0,4.0,4.0,6.0,5.172333333333334,5.120000000000001,6.209,3.7887055796666638,4.173587742202458,5.536830598996438,2.7567816731080246,1.8856603306683883,1.3392505903412428
10,3,0.8571428571428571,1.9924301646902063,-4.772666666666666,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",3.0,7.0,7.0,10.0,3.449666666666667,8.222333333333333,8.398333333333333,11.879333333333333,0.0,5.046725985652059,6.055194513510006,9.609169681663221,2.0,4.0,2.0,14.0,4.0,4.0,7.0,4.772666666666666,4.948666666666666,8.429666666666666,5.046725985652059,6.055194513510006,9.609169681663221,-0.5460440540609525,-2.2046794601203756,-2.350077386422182
10,4,1.1428571428571428,1.9924301646902063,-3.179666666666666,"(0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0)",7.0,10.0,11.0,14.0,8.375333333333334,11.555,12.359333333333334,17.47533333333333,0.0,4.644277230497577,4.939721416751722,7.526006461084315,5.0,9.0,23.0,2.0,3.0,4.0,7.0,3.179666666666666,3.984,9.099999999999998,4.644277230497577,4.939721416751722,7.526006461084315,-2.9181342669006383,-1.90420817977659,3.136072205963094
10,5,1.4285714285714284,1.9924301646902063,-2.2363333333333335,"(1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",5.0,9.0,7.0,11.0,5.763,10.0,7.999333333333333,13.576333333333332,0.0,4.719901024304042,4.321603165325999,8.197377943189622,2.0,17.0,1.0,13.0,4.0,2.0,6.0,4.237,2.2363333333333335,7.813333333333333,4.719901024304042,4.321603165325999,8.197377943189622,-0.9621465673831706,-4.154754514780665,-0.7651820652643525
10,6,1.7142857142857142,1.9924301646902063,-3.390219546728621,"(1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0)",6.0,9.0,8.0,12.0,6.246,11.887,11.091,13.245,0.0,3.390219546728621,3.8139098212499927,6.499949202494744,4.0,6.0,1.0,16.0,3.0,2.0,6.0,5.641,4.844999999999999,6.998999999999999,3.390219546728621,3.8139098212499927,6.499949202494744,4.484522869192991,2.054375174657329,0.9943238626621743
10,7,2.0,1.9924301646902063,-2.0316666666666663,"(1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1)",6.0,11.0,9.0,13.0,8.216666666666667,13.075666666666667,10.248333333333333,16.106666666666666,0.0,4.871591374175789,4.263645585646455,6.953204926848825,1.0,25.0,2.0,18.0,5.0,3.0,7.0,4.859,2.0316666666666663,7.889999999999999,4.871591374175789,4.263645585646455,6.953204926848825,-0.02508743372274248,-4.447062125127969,1.8664987618795676
20,0,0.0,1.9924301646902063,-5.099,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0)",4.0,8.0,7.0,11.0,4.434333333333333,9.642666666666667,9.533333333333333,12.545666666666667,0.0,6.15028877764808,5.454034056597088,8.965083423757697,2.0,4.0,2.0,41.0,4.0,3.0,7.0,5.208333333333334,5.099,8.111333333333334,6.15028877764808,5.454034056597088,8.965083423757697,-1.8767804410468658,-0.7073805638563676,-1.7010374332684919
20,1,0.2857142857142857,1.9924301646902063,-4.6883333333333335,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1)",4.0,7.0,7.0,10.0,4.3613333333333335,9.049666666666667,9.329,13.093,0.0,5.404854238698651,5.19229514729562,9.655493682992269,3.0,2.0,1.0,5.0,3.0,3.0,6.0,4.6883333333333335,4.967666666666667,8.731666666666666,5.404854238698651,5.19229514729562,9.655493682992269,-1.427617865480996,-0.447556560653655,-1.8406608142828835
20,2,0.5714285714285714,1.9924301646902063,-5.100399840477519,"(1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",4.0,8.0,8.0,11.0,4.816333333333334,10.572,10.267666666666667,12.916333333333334,0.0,5.100399840477519,5.37963892805885,8.225105929648228,1.0,3.0,2.0,22.0,4.0,4.0,7.0,5.755666666666666,5.451333333333333,8.100000000000001,5.100399840477519,5.37963892805885,8.225105929648228,1.3055733904200701,0.142846095708405,-0.24926482801273714
20,3,0.8571428571428571,1.9924301646902063,-3.131333333333332,"(0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",7.0,9.0,10.0,12.0,8.018,11.149333333333333,14.013333333333334,15.931333333333333,0.0,4.606753129062578,5.291053269125429,6.809119018772308,6.0,1.0,5.0,1.0,2.0,3.0,5.0,3.131333333333332,5.995333333333333,7.913333333333332,4.606753129062578,5.291053269125429,6.809119018772308,-2.9396709065920112,1.4032288443177825,2.2000699086141045
20,4,1.1428571428571428,1.9924301646902063,-3.721333333333333,"(1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1)",6.0,10.0,9.0,12.0,6.484666666666667,12.874333333333333,10.206,15.186666666666667,0.0,6.0995814299567135,5.418126037406783,8.203410578966047,8.0,21.0,2.0,8.0,4.0,3.0,6.0,6.389666666666666,3.721333333333333,8.702000000000002,6.0995814299567135,5.418126037406783,8.203410578966047,0.577974575952208,-3.3807409668222035,0.9934046022634779
